"filename", "language", "Python", "CSS", "HTML", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\forms.py", "Python", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0001_initial.py", "Python", 105, 0, 0, 0, 0, 0, 1, 7, 113
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0002_inventory_type_product_status_and_more.py", "Python", 33, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0003_rename_stock_up_date_inventory_stock_in_date_and_more.py", "Python", 25, 0, 0, 0, 0, 0, 1, 6, 32
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0004_currency_currency_code.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0005_rename_name_customer_company_name_and_more.py", "Python", 34, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0006_rename_customer_id_quotation_customer_and_more.py", "Python", 16, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0007_rename_customer_quotation_customer_id_and_more.py", "Python", 49, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0008_currency_create_date_currency_update_date_and_more.py", "Python", 82, 0, 0, 0, 0, 0, 1, 6, 89
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0009_salesperson_name_acronym.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0010_customer_name_acronym_product_description_and_more.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0011_quotation_sales_person_alter_quotation_doc_number.py", "Python", 19, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0012_remove_quotation_product_id.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0013_paymentterm_rename_quotation_item_quotationitem_and_more.py", "Python", 30, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0014_remove_customer_payment_term_delete_paymentterm.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0015_alter_quotation_doc_number.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0016_alter_quotation_doc_number.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0017_alter_quotation_doc_number.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0018_orderexecution.py", "Python", 21, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\0019_alter_quotationitem_quotation.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\models.py", "Python", 246, 0, 0, 0, 0, 0, 23, 94, 363
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\urls.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\dashboard\views.py", "Python", 175, 0, 0, 0, 0, 0, 2, 49, 226
"c:\Users\User\Desktop\python\ezAdmin\ezAdmin\ezAdmin\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
